"slug","symbol","date","open","close","market_cap","rank","ret","cum_ret","log_ret","cum_log_ret","Code","market_cap_category"
"polymath-network","POLY",2020-09-03,0.06,0.04,22934610.41,467,-0.33,2.13,-0.41,1.22,"BR2020","Under 50M"
"forta","FORT",2023-09-03,0.12,0.11,41870928.03,401,-0.08,-0.9,-0.09,-2.25,"PB2024","Under 50M"
"polkastarter","POLS",2023-07-19,0.31,0.31,30758157.17,500,0,Inf,0,Inf,"PB2024","Under 50M"
"tokocrypto","TKO",2021-07-23,1.39,1.59,173045544.7,503,0.14,-0.43,0.13,-0.59,"BR2020","Under 500M"
"mobox","MBOX",2023-11-29,0.26,0.27,61886265.79,411,0.04,-0.92,0.04,-2.55,"PB2024","Under 100M"
"syntropy","NOIA",2024-01-20,0.09,0.09,67104664.4,386,0,128.47,0,4.84,"PB2024","Under 100M"
"rsk-smart-bitcoin","RBTC",2020-08-18,12201.89,11897.79,3158316,304,-0.02,1.4,-0.03,0.97,"BR2020","Under 50M"
"unilend","UFT",2024-03-14,0.52,0.63,29972358.81,722,0.21,-0.21,0.19,-0.21,"PB2024","Under 50M"
"big-time","BIGTIME",2024-04-24,0.21,0.2,169655234.7,316,-0.05,1.86,-0.05,1.04,NA,"Under 500M"
"harvest-finance","FARM",2024-03-31,53.14,54.74,37494605.57,567,0.03,-0.98,0.03,-3.89,"PB2024","Under 50M"
"secret","SCRT",2023-08-06,0.34,0.33,70380100.85,407,-0.03,-0.59,-0.03,-0.87,"PB2024","Under 100M"
"parsiq","PRQ",2022-08-09,0.16,0.15,25546397.77,709,-0.06,26.83,-0.06,3.37,"CW2020","Under 50M"
"isiklar-coin","ISIKC",2022-07-16,0.23,0.23,1236300.5,667,0,-0.26,0,-0.25,"CW2020","Under 50M"
"agoras-tokens","AGRS",2017-06-27,0.32,0.33,13720728,522,0.03,0.23,0.03,0.27,"BR2016","Under 50M"
"opulous","OPUL",2024-03-10,0.19,0.2,55907618.6,595,0.05,-0.81,0.05,-1.65,"PB2024","Under 100M"
"counterparty","XCP",2018-12-09,2.2,2.52,6581651.19,817,0.15,-0.83,0.14,-1.67,"CW2016","Under 50M"
"xrp","XRP",2018-10-25,0.46,0.46,18416216084,7,0,168.37,0,5.13,"CW2016","Under 50B"
"unifi-protocol-dao","UNFI",2023-07-02,3.46,3.42,18319748.59,735,-0.01,-0.34,-0.01,-0.43,"PB2024","Under 50M"
"toncoin","TON",2023-01-13,2.18,2.22,2715633738,9,0.02,4.4,0.02,-0.68,"PB2024","Under 10B"
"harvest-finance","FARM",2020-12-30,88.42,82.91,33911695.94,567,-0.06,-0.96,-0.06,-3.35,"BR2020","Under 50M"
"steem-dollars","SBD",2018-06-18,1.29,1.31,19914749.58,599,0.02,-0.57,0.02,-0.7,"CW2016","Under 50M"
"komodo","KMD",2020-09-02,0.76,0.71,86028318.68,586,-0.07,7.76,-0.07,2.21,"BR2020","Under 100M"
"nano","XNO",2024-01-11,1.1,1.14,152163872.2,338,0.04,58.74,0.04,4.3,"PB2024","Under 500M"
"ondo-finance","ONDO",2024-02-20,0.35,0.34,477543648.2,76,-0.03,1.17,-0.03,0.75,"PB2024","Under 500M"
"render","RNDR",2022-05-03,1.7,1.49,362718114.2,33,-0.12,21.97,-0.13,3.2,"CW2020","Under 500M"
